Name,Team,POS,PTS,PTS/G,GP,PASSING_CMP,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RUSHING_FUM,RECEIVING_TGT,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD
Lamar Jackson,BAL,QB,430.4,25.3,17,316,4172,41,4,139,915,4,5,0,0,0,0
Joe Burrow,CIN,QB,372.8,21.9,17,460,4918,43,9,42,201,2,5,0,0,0,0
Josh Allen,BUF,QB,372.3,21.9,17,307,3731,28,6,102,531,12,2,0,0,7,1
Baker Mayfield,TB,QB,365.8,21.5,17,407,4500,41,16,60,378,3,2,0,0,0,0
Jayden Daniels,WAS,QB,355.8,20.9,17,331,3568,25,9,148,891,6,0,0,0,0,0
Ja'Marr Chase,CIN,WR,339.5,20,17,0,0,0,0,3,32,0,0,175,127,1708,17
Saquon Barkley,PHI,RB,338.8,21.2,16,0,0,0,0,345,2005,13,1,43,33,278,2
Jahmyr Gibbs,DET,RB,336.9,19.8,17,0,0,0,0,250,1412,16,1,63,52,517,4
Derrick Henry,BAL,RB,326.9,19.2,17,0,0,0,0,325,1921,16,1,22,19,193,2
Jared Goff,DET,QB,316.8,18.6,17,390,4629,37,12,35,56,0,0,1,1,7,1
Jalen Hurts,PHI,QB,315.1,21,15,248,2903,18,5,150,630,14,5,0,0,0,0
Bijan Robinson,ATL,RB,311.2,18.3,17,0,0,0,0,304,1456,14,0,72,61,431,1
Bo Nix,DEN,QB,310,18.2,17,376,3775,29,12,92,430,4,0,1,1,2,1
Sam Darnold,MIN,QB,308,18.1,17,361,4319,35,12,67,212,1,4,0,0,0,0
Kyler Murray,ARI,QB,297.2,17.5,17,372,3851,21,11,78,572,5,4,0,0,0,0
Justin Herbert,LAC,QB,285.4,16.8,17,332,3870,23,3,69,306,2,2,0,0,0,0
Patrick Mahomes,KC,QB,281.8,17.6,16,392,3928,26,11,58,307,2,0,1,1,2,0
Josh Jacobs,GB,RB,275.1,16.2,17,0,0,0,0,301,1329,15,3,43,36,342,1
Brock Purdy,SF,QB,266.9,17.8,15,300,3864,20,12,66,323,5,3,0,0,0,0
Geno Smith,SEA,QB,266,15.6,17,407,4320,21,15,53,272,2,0,0,0,0,0
Justin Jefferson,MIN,WR,265.1,15.6,17,1,22,0,0,1,3,0,0,153,103,1533,10
De'Von Achane,MIA,RB,260.9,15.3,17,0,0,0,0,203,907,6,0,87,78,592,6
Aaron Rodgers,NYJ,QB,256.6,15.1,17,368,3897,28,11,22,107,0,2,0,0,0,0
Kyren Williams,LAR,RB,255.1,15.9,16,0,0,0,0,316,1299,14,3,40,34,182,2
Amon-Ra St. Brown,DET,WR,254.4,15,17,1,7,1,0,2,6,0,1,142,115,1263,12
Caleb Williams,CHI,QB,253.9,14.9,17,351,3541,20,6,82,483,0,5,0,0,0,0
James Cook,BUF,RB,250.7,15.7,16,0,0,0,0,207,1009,16,0,38,32,258,2
Brian Thomas Jr.,JAX,WR,240.5,14.1,17,0,0,0,0,6,48,0,0,133,87,1282,10
Jonathan Taylor,IND,RB,237.7,17,14,0,0,0,0,303,1431,11,0,31,18,136,1
Jordan Love,GB,QB,233.9,15.6,15,268,3389,25,11,25,83,1,0,0,0,0,0
Alvin Kamara,NO,RB,231.3,16.5,14,0,0,0,0,228,950,6,0,89,68,543,2
Drake London,ATL,WR,230.8,13.6,17,0,0,0,0,1,-3,0,0,157,100,1271,9
James Conner,ARI,RB,230.3,14.4,16,0,0,0,0,236,1094,8,1,55,47,414,1
Chase Brown,CIN,RB,228,14.3,16,0,0,0,0,229,990,7,1,65,54,360,4
